date,equity,cash,positions_count,cummax,drawdown,daily_return
2025-02-07,1002509.0897299999,42.2897299999604,6,1002509.0897299999,0.0,0.009563932861054392
2025-02-10,1009133.18973,42.2897299999604,6,1009133.18973,0.0,0.006607521136575478
2025-02-11,1006739.18973,42.2897299999604,6,1009133.18973,-0.0023723330323131377,-0.002372333032313101
2025-02-12,1019617.0897299999,42.2897299999604,6,1019617.0897299999,0.0,0.012791694344841842
2025-02-13,1021551.5897299999,42.2897299999604,6,1021551.5897299999,0.0,0.0018972808709123434
2025-02-14,1030743.9897299999,42.2897299999604,6,1030743.9897299999,0.0,0.00899846869449794
2025-02-17,1032197.8638,52.76380000001518,6,1032197.8638,0.0,0.0014105093839849037
2025-02-18,1022587.0638000001,52.76380000001518,6,1032197.8638,-0.009311005512662184,-0.009311005512662174
2025-02-19,1036494.2638,52.76380000001518,6,1036494.2638,0.0,0.013600015580404357
2025-02-20,1032745.0637999999,52.76380000001518,6,1036494.2638,-0.003617193197244272,-0.003617193197244295
2025-02-21,1065326.9638,52.76380000001518,6,1065326.9638,0.0,0.03154883149972609
2025-02-24,1064641.14252,203573.44252,5,1065326.9638,-0.0006437660017106129,-0.0006437660017105662
2025-02-25,1057828.14252,203573.44252,5,1065326.9638,-0.00703898571500705,-0.006399339390429359
2025-02-26,1077852.34252,203573.44252,5,1077852.34252,0.0,0.018929539870528922
2025-02-27,1076126.6425200002,203573.44252,5,1077852.34252,-0.0016010541814707794,-0.001601054181470829
2025-02-28,1040792.14252,203573.44252,5,1077852.34252,-0.034383373805500904,-0.03283489006206208
2025-03-03,1038795.8281699999,30.328169999993406,5,1077852.34252,-0.036235496096512276,-0.0019180720803354534
2025-03-04,1043403.7281699999,30.328169999993406,5,1077852.34252,-0.03196042072837156,0.004435809111899891
2025-03-05,1046407.22817,30.328169999993406,5,1077852.34252,-0.02917386093579553,0.0028785597740463853
2025-03-06,1074805.1281700002,30.328169999993406,5,1077852.34252,-0.0028271166928815657,0.027138478438899494
2025-03-07,1064577.02817,30.328169999993406,5,1077852.34252,-0.012316449875650342,-0.009516236694380842
2025-03-10,1059294.04339,8.44338999997126,5,1077852.34252,-0.017217849233978528,-0.004962519987005032
2025-03-11,1060985.74339,8.44338999997126,5,1077852.34252,-0.01564833926191242,0.0015970069977795376
2025-03-12,1054823.6433899999,8.44338999997126,5,1077852.34252,-0.021365356108202525,-0.005807900849177594
2025-03-13,1043037.0433899999,8.44338999997126,5,1077852.34252,-0.03230062018383937,-0.011174000577120258
2025-03-14,1069793.44339,8.44338999997126,5,1077852.34252,-0.007476811815576212,0.0256523966905704
2025-03-17,1068367.4817299999,88.9817299998831,5,1077852.34252,-0.008799777498116881,-0.001332931762491829
2025-03-18,1070572.08173,88.9817299998831,5,1077852.34252,-0.006754413849469259,0.002063522184735822
2025-03-19,1065064.08173,88.9817299998831,5,1077852.34252,-0.011864575773061124,-0.005144912793820788
2025-03-20,1057302.78173,88.9817299998831,5,1077852.34252,-0.019065283786418745,-0.007287167160301977
2025-03-21,1044368.4817299999,88.9817299998831,5,1077852.34252,-0.031065350483643596,-0.012233297995146164
2025-03-24,1038178.7387599999,275.63875999988306,4,1077852.34252,-0.03680801367211755,-0.005926780708420787
2025-03-25,1034164.13876,275.63875999988306,4,1077852.34252,-0.040532642586142816,-0.00386696418460164
2025-03-26,1034552.33876,275.63875999988306,4,1077852.34252,-0.040172481936408225,0.00037537561538858455
2025-03-27,1035736.43876,275.63875999988306,4,1077852.34252,-0.03907390845533967,0.001144553016447114
2025-03-28,1026397.9387599999,275.63875999988306,4,1077852.34252,-0.04773789667673822,-0.009016289907865294
2025-03-31,1008478.3241999998,25.024199999839766,4,1077852.34252,-0.0643631929748419,-0.01745873981552315
2025-04-01,1022310.0241999996,25.024199999839766,4,1077852.34252,-0.05153054470350117,0.013715416254456603
2025-04-02,1014389.6241999997,25.024199999839766,4,1077852.34252,-0.05887886106145624,-0.007747551928973695
2025-04-03,1011071.5241999999,25.024199999839766,4,1077852.34252,-0.06195729756811373,-0.0032710310918417917
2025-04-07,930118.8930899998,404752.8930899998,2,1077852.34252,-0.13706279014489306,-0.08006617649928671
2025-04-08,938245.2930899997,404752.8930899998,2,1077852.34252,-0.12952335298877896,0.008736947566996278
2025-04-09,957444.5930899997,404752.8930899998,2,1077852.34252,-0.11171080182327106,0.020462985683380674
2025-04-10,964175.2930899998,404752.8930899998,2,1077852.34252,-0.10546625446322747,0.007029858488497798
2025-04-11,968796.7930899997,404752.8930899998,2,1077852.34252,-0.10117856141132493,0.0047932155419465605
