date,value,cash,return,cum_return,rolling_max,drawdown
2024-03-15,1165269.4097971602,50223.80979716015,0.004261219880854261,0.16526940979715898,1171519.9097971602,-0.0053353766741209094
2024-03-18,1179568.90979716,50223.80979716015,0.01227141112585195,0.17956890979715867,1179568.90979716,0.0
2024-03-19,1168529.80979716,50223.80979716015,-0.00935858847101878,0.1685298097971588,1179568.90979716,-0.009358588471018753
2024-03-20,1169518.1097971601,50223.80979716015,0.0008457636182781503,0.16951810979715876,1179568.90979716,-0.008520740006387724
2024-03-21,1163648.30979716,50223.80979716015,-0.005018990258319422,0.1636483097971586,1179568.90979716,-0.013496964753621376
2024-03-22,1150396.10979716,50223.80979716015,-0.011388492458095256,0.15039610979715845,1179568.90979716,-0.024731747130412783
2024-03-25,1138129.70979716,50223.80979716015,-0.010662762065635545,0.13812970979715855,1179568.90979716,-0.03513080046092931
2024-03-26,1131562.80979716,50223.80979716015,-0.005769904733591624,0.13156280979715862,1179568.90979716,-0.040698003822646565
2024-03-27,1110228.30979716,50223.80979716015,-0.018854013065191078,0.11022830979715859,1179568.90979716,-0.058784696192038285
2024-03-28,1121255.9097971602,50223.80979716015,0.009932731765788683,0.12125590979715861,1179568.90979716,-0.04943585704545853
2024-03-29,1124598.6097971601,50223.80979716015,0.002981210596789241,0.12459860979715853,1179568.90979716,-0.046602025149554485
2024-04-01,1144016.50979716,50223.80979716015,0.017266516098132234,0.1440165097971584,1179568.90979716,-0.030140163668872504
2024-04-02,1133332.30979716,50223.80979716015,-0.009339200884342369,0.1333323097971586,1179568.90979716,-0.039197879510024354
2024-04-03,1125025.20979716,50223.80979716015,-0.00732980073733791,0.12502520979715848,1179568.90979716,-0.0462403676012276
2024-04-08,1109558.00979716,50223.80979716015,-0.013748314140257012,0.10955800979715868,1179568.90979716,-0.05935295464174201
2024-04-09,1118277.6097971601,50223.80979716015,0.007858624716335694,0.11827760979715896,1179568.90979716,-0.05196076252174155
2024-04-10,1103108.6097971601,50223.80979716015,-0.01356461031420586,0.10310860979715897,1179568.90979716,-0.06482054534071097
2024-04-11,1103732.70979716,50223.80979716015,0.0005657647800560994,0.10373270979715876,1179568.90979716,-0.06429145374223269
2024-04-12,1097000.20979716,50223.80979716015,-0.00609975580159916,0.09700020979715873,1179568.90979716,-0.06999904737587444
2024-04-15,1113156.4097971602,50223.80979716015,0.014727617967354334,0.11315640979715891,1179568.90979716,-0.05630234863635066
2024-04-16,1093857.70979716,50223.80979716015,-0.01733691674426674,0.09385770979715868,1179568.90979716,-0.07266315624980227
2024-04-17,1116017.80979716,50223.80979716015,0.0202586678335972,0.1160178097971587,1179568.90979716,-0.053876547162410526
2024-04-18,1111469.80979716,50223.80979716015,-0.004075203782658798,0.1114698097971587,1179568.90979716,-0.0577321930362765
2024-04-19,1097873.20979716,50223.80979716015,-0.012232990838034086,0.09787320979715863,1179568.90979716,-0.06925894648583815
2024-04-22,1096357.50979716,50223.80979716015,-0.0013805783641264169,0.09635750979715874,1179568.90979716,-0.07054390744692401
2024-04-23,1093113.00979716,50223.80979716015,-0.0029593448952616175,0.09311300979715886,1179568.90979716,-0.07329448858979079
2024-04-24,1101521.50979716,50223.80979716015,0.007692251326841593,0.1015215097971589,1179568.90979716,-0.06616603689005421
2024-04-25,1099229.4097971602,50223.80979716015,-0.0020808490616056607,0.09922940979715911,1179568.90979716,-0.06810920441588703
2024-04-26,1123005.0097971603,50223.80979716015,0.021629333957128516,0.12300500979715911,1179568.90979716,-0.047953027186624024
2024-04-29,1148302.6097971601,50223.80979716015,0.022526702712189373,0.14830260979715892,1179568.90979716,-0.026506548062017337
2024-04-30,1139925.1097971601,50223.80979716015,-0.007295550779493398,0.139925109797159,1179568.90979716,-0.03360871897413523
2024-05-06,1157698.50979716,50223.80979716015,0.01559172602414427,0.15769850979715883,1179568.90979716,-0.018541010888258123
2024-05-07,1153884.0097971603,50223.80979716015,-0.003294899291757858,0.153884009797159,1179568.90979716,-0.021774819416371764
2024-05-08,1139968.00979716,50223.80979716015,-0.012060137658417291,0.13996800979715873,1179568.90979716,-0.033572349755140396
2024-05-09,1153853.80979716,50223.80979716015,0.012180868130212463,0.15385380979715868,1179568.90979716,-0.021800421990116593
